assists,bonus,bps,clean_sheets,creativity,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,threat,total_points,value,was_home,yellow_cards,position
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,17,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,9,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,20,0,0,0,0,0,0.0,0,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,7,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,10,0,0,0,0,0,0.0,0,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,5,0,0,0,0,0,0.0,0,45,True,0,3
0,0,9,1,2.8,0,0,2.1,8.4,79,2,0,0,0,0,0,10.0,3,45,True,0,3
0,0,10,0,7.5,3,0,2.7,15.0,77,19,0,0,0,0,0,4.0,2,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,13,0,0,0,0,0,0.0,0,45,True,0,3
0,0,2,0,0.0,0,0,1.7,0.0,8,14,0,0,0,0,0,19.0,1,45,False,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,0.0,0,45,True,0,3
1,0,17,1,11.0,0,0,3.2,19.0,64,18,0,0,0,0,0,2.0,6,45,False,0,3
0,0,3,0,0.0,0,0,0.0,0.0,1,11,0,0,0,0,0,0.0,1,45,True,0,3
0,0,3,0,0.3,0,0,0.0,0.0,2,8,0,0,0,0,0,0.0,1,45,False,0,3
0,0,3,0,1.8,0,0,0.5,0.8,21,12,0,0,0,0,0,2.0,1,45,False,0,3
0,0,14,0,17.4,1,0,2.2,4.8,77,4,0,0,0,0,0,0.0,2,45,True,0,3
0,0,0,0,0.0,0,0,0.0,0.0,0,3,0,0,0,0,0,0.0,0,45,False,0,3
